,ENTITY1,RELATION,ENTITY2
984,Jessica, found,Jessica
985,Paul, lifted,chin
986,Paul, raised,voice
987,Paul, hurled,voice
988,Paul, says,Paul
989,Jessica, saw ’s,Paul intent
990,Paul, pushed,message
991,Paul, raised,fist
992,Emperor, says,yea
993,Paul, lifted,Paul
994,Stilgar, had,crysknife
995,Jessica, translated,chouhada
996,Paul, faced,Stilgar
997,Paul, lowered,commander voice
998,Stilgar, commands,knife
999,Paul, motioned,mother
1000,Jessica, asked,Jessica
1001,Jessica, brings,Chani
1002,Jessica, imagined,Jessica
1003,Jessica, placed,palms
1004,Paul, shook,head
1005,Paul, lifted,crysknife
1006,Yueh, gave,love
1007,Jessica, felt losing,control
1008,Jessica, found,voice
1009,Jessica, saw ’s,Paul eyes
1010,Paul, dropped,chin
1011,Gurney, opened,eyes
1012,Paul, led,mother
1013,Paul, forced,Paul
1014,Paul, heard,Gurney
1015,Muad’Dib, asked,mother
1016,Alia, gathered,robe
1017,Alia, quickened,pace
1018,Otheym, pressed,palms
1019,Chani, lowered,gaze
1020,Chani, held,face
1021,Chani, asked,Chani
1022,Chani, felt,Jessica heart
1023,Jessica, kept,voice
1024,Jessica, knows,Paul
1025,Chani, thrust,Chani
1026,Paul, illuminated,face
1027,Chani, found,thoughts
1028,Chani, disengaged,hand
1029,Jessica, wet,lips
1030,Paul, take,nourishment
1031,Chani, lowered,Chani
1032,Jessica, closed,eyes
1033,Jessica, asked,Jessica
1034,Jessica, studied ’s,Paul face
1035,Chani, pressed,Paul
1036,Paul, dipped,hand
1037,Paul, grabbed,Jessica hand
1038,Paul, sent,awareness
1039,Jessica, shook,head
1040,Jessica, closed,eyes
1041,Jessica, opened,eyes
1042,Jessica, quieted,Jessica
1043,Paul, released,Jessica hand
1044,Chani, helped,Jessica
1045,Chani, disengaged,Chani
1046,Jessica, shook,head
1047,Dib, forced,Dib
1048,Great House, has,House
1049,Great House, has,House raiders
1050,Chani, shook,head
1051,Jessica, weighed,Paul words
1052,Paul, cupped,hand
1053,Chani, found,voice
1054,Paul, returned,attention
1055,Paul, felt,time
1056,Gurney Halleck, cleared,Paul
1057,Gurney Halleck, cleared,Paul throat
1058,Gurney, shook,Paul head
1059,Gurney, allows,Gurney
1060,Paul, studying,Stilgar
1061,Stilgar, nodded,agreement
1062,Paul, motioned to take,Fedaykin
1063,Paul, fastened,face
1064,Paul, touched,shoulder
1065,Paul, exposed,cheeks
1066,Paul, felt,Paul
1067,Baron, stilled,Baron
1068,Baron, darted,gaze
1069,Baron, lowered,gaze
1070,Baron, asked,Baron
1071,Baron, brings,pages
1072,Baron, poised several,times
1073,Emperor, snapped,fingers
1074,Emperor, cleared,Baron throat
1075,Baron, asked,Baron
1076,Baron, shifted,attention
1077,Baron, pushed,Baron
1078,Baron, waved,Truthsayer
1079,Emperor, lifted,Emperor
1080,Baron, found,voice
1081,Emperor, snapped,Alia attention
1082,Emperor, studied,Alia
1083,Baron, hurled,Majesty
1084,Baron, left,palm
1085,Paul, jerked,chin
1086,Paul, cleared,throat
1087,Paul, closed,eyes
1088,Paul, gave,thoughts
1089,Paul, opened,eyes
1090,Paul, torn,uniform
1091,Paul, couched,words
1092,Paul, left,hand
1093,Stilgar, cleared,throat
1094,Jessica, wore,black
1095,Jessica, saw,Paul fatigue
1096,Paul, hid,fatigue
1097,Jessica, beloved,Leto
1098,Paul, shook,head
1099,Jessica, gives,water
1100,Paul, moved,Chani
1101,m’Lord, wanted,chance
1102,Emperor, commanded,Paul use
1103,Padishah Emperor Shaddam IV, led,Paul
1104,Padishah Emperor Shaddam IV, led,Paul people
1105,Paul, swept,gaze
1106,Paul, felt,Paul
1107,Paul, seen,moment
1108,Paul, forced,attention
1109,Paul, knew,woman
1110,Paul, saw,movement
1111,Hawat, left,hand
1112,Paul, lowered,Hawat
1113,Bene Gesserit, controlled,atonals
1114,Emperor, cleared,Paul throat
1115,Humans, isolated,planets
1116,Paul, means,power
1117,Truthsayer, pulled shapeless black,Paul robes
1118,Paul, raised,voice
1119,Paul, turned,attention
1120,Paul, silenced,Chani
1121,Paul, raised,voice
1122,Paul, pushed,Truthsayer
1123,Paul, slipped,robe
1124,Jessica, touched ’s,Gurney arm
1125,Jessica, hid,face
1126,Rautha, saluted,Paul
1127,Paul, own,milk
1128,Paul, left,hand
1129,Paul, resumed,Paul
1130,Paul, resumed probing,circle
1131,Paul, left,arm
1132,Paul, realigned own,metabolism
1133,Paul, left,hand
1134,Paul, know own,moment
1135,Paul, suspect,poison
1136,Paul, dropped,cloak
1137,Rautha, matched ’s cold,Paul smile
1138,Paul, shifted,crysknife
1139,Paul, left,hand
1140,Paul, reminded,Paul
1141,Paul, missed,Paul
1142,Paul, twisted left,hand
1143,Paul, pushed,Paul
1144,Count, met stare,Paul
1145,Paul, faced,Paul
1146,Paul, cleared,throat
1147,Atreides, promised,presence
1148,God, created,Arrakis
1149,Paul, dropped,arm
1150,Usul, has,wisdom
1151,Jessica, has,pretensions
1152,Jessica, finds,solace
1153,hulud, moved,executioner
1154,Kynes, told,child
1155,Muad’Dib, quoted,word
1156,Lady Jessica, defied,concubine
1157,Lady Jessica, defied,concubine orders
1158,Paul Atreides, showed,ability
1159,Padishah Emperor, reoccupied,Arrakis
1160,Gesserit, sent,voice Missionaria Protectiva
1161,Bene Gesserit, sent,voice Missionaria Protectiva
1162,Bene Gesserit, sent,voice Missionaria
1163,Guild, Spacing made,overtures
1164,Imperial House Corrino, took,Corrino
1165,Imperial House Corrino, took,Corrino name
1166,GRUMMAN, ruling,House
1167,Baron, means,heir
1168,BIBLE, contains,elements
1169,SUSPENSOR, nullifies,gravity
1170,BURHAN, brings,death
1171,Fremen, chanting,cadence
